fips,county_name,population,CHD_obs,CHD_rate,high_chol_rate,smoke_rate,low_edu_rate,family_income,PM25
42001,adams,81964,6311,7.7,34.9,17.9,10.8,70000,7.3
42003,allegheny,990084,67326,6.8,30.6,14.9,5.2,64000,12.7
42005,armstrong,52840,4756,9,35,20.1,8.2,53000,10.5
42007,beaver,132866,10629,8,37,17.8,6.2,57000,9.5
42009,bedford,38768,3644,9.4,36.5,20.1,11.3,53000,8.7
42011,berks,325348,23425,7.2,31.8,17.4,12.8,70000,11.3
42013,blair,97575,8196,8.4,35.4,19.1,8.3,52000,8.2
42015,bradford,47363,4310,9.1,35.5,20.5,10.2,56000,8.1
42017,bucks,499660,32978,6.6,33.9,14.4,5.7,92000,10.8
42019,butler,150221,10666,7.1,33,15.2,4.6,75000,10.8
42021,cambria,106299,9248,8.7,35,19,8,49000,8.9
42023,cameron,3780,427,11.3,39.2,22.1,8.7,46000,7.2
42025,carbon,51706,4447,8.6,36,20.1,10.3,61000,9.3
42027,centre,137955,8139,5.9,28.2,15.2,5.5,63000,8.6
42029,chester,403431,23802,5.9,32,12.5,5.7,107000,10.4
42031,clarion,31352,2602,8.3,33.8,19.7,9.4,53000,9.3
42033,clearfield,65022,5722,8.8,34.7,21.1,11.9,49000,8.8
42035,clinton,30755,2491,8.1,33.7,20.2,10.2,55000,8.3
42037,columbia,53838,4092,7.6,33.2,17.8,9.2,56000,9.4
42039,crawford,67413,5798,8.6,34.5,20.2,10.1,52000,8.9
42041,cumberland,200451,13029,6.5,31.4,15.4,7.1,70000,9.9
42043,dauphin,214762,14819,6.9,33.1,17.7,9,63000,9.6
42045,delaware,440833,28213,6.4,31.5,15.2,6.8,75000,11
42047,elk,24336,2142,8.8,36.9,19.4,7,53000,8
42049,erie,214051,16696,7.8,34.9,18.6,8.5,55000,7.7
42051,fayette,105233,9576,9.1,35.2,22.1,11.2,45000,9
42053,forest,6813,640,9.4,33.3,22.8,16.3,41000,7.9
42055,franklin,120357,9508,7.9,33.5,18.3,11.2,58000,8.9
42057,fulton,11610,1022,8.8,36.2,20.3,10.7,61000,8.2
42059,greene,29402,2411,8.2,33.9,20.4,12.4,59000,4.7
42061,huntingdon,36984,3033,8.2,34.1,19.9,10.2,55000,9
42063,indiana,69264,5541,8,33.1,18.8,9.2,54000,10
42065,jefferson,34286,3120,9.1,36,21.5,9.4,53000,9
42067,juniata,19119,1682,8.8,36.1,21,16.9,60000,9.2
42069,lackawanna,167287,13216,7.9,31.8,18.2,8.5,57000,8.2
42071,lancaster,415215,30311,7.3,31,17.3,14.4,73000,11.4
42073,lawrence,68966,6069,8.8,34.1,19.2,8.7,50000,10.1
42075,lebanon,108443,8675,8,32.6,18,12.3,64000,12.2
42077,lehigh,283942,19876,7,31.6,16.7,10.5,66000,10.6
42079,luzerne,254690,20885,8.2,34,19,9.8,52000,9.2
42081,lycoming,90669,7163,7.9,33,18.4,9.5,57000,8.9
42083,mckean,32887,2861,8.7,34.4,20.6,8.2,52000,7.4
42085,mercer,89065,7927,8.9,34.7,19.4,10.1,52000,9.1
42087,mifflin,35864,3371,9.4,36,21.8,15.2,55000,8.9
42089,monroe,135675,10176,7.5,31.8,17.3,10.4,72000,6.4
42091,montgomery,648618,39566,6.1,31.4,12.9,5.6,94000,11.2
42093,montour,14463,1143,7.9,35,17.5,8.9,63000,9.5
42095,northampton,243564,17293,7.1,31.8,16.3,8.7,74000,11
42097,northumberland,73321,6379,8.7,36,20.7,10.9,48000,9.9
42099,perry,36229,2862,7.9,34.7,20,11.9,69000,9.6
42101,philadelphia,1237657,79210,6.4,30.8,19.5,14.3,55000,10.5
42103,pike,45751,3843,8.4,35.8,16.8,7.6,67000,8
42105,potter,13276,1301,9.8,37.1,20.6,11.1,52000,6.9
42107,schuylkill,113906,9796,8.6,35.3,20.7,10.6,52000,10.2
42109,snyder,32039,2499,7.8,33.5,19.2,13.3,58000,9.6
42111,somerset,60467,5442,9,36.2,20.7,11.2,52000,8.9
42113,sullivan,5392,539,10,38.2,19.3,10.1,53000,7.8
42115,susquehanna,32994,3068,9.3,37,19.4,9.5,56000,7.9
42117,tioga,32641,2938,9,35.3,19.5,8.6,48000,7.1
42119,union,36834,2615,7.1,30.3,17.6,12.2,62000,9.4
42121,venango,41422,3894,9.4,37,20.8,9,53000,9
42123,warren,31803,2926,9.2,36.5,19.6,6.8,53000,7.7
42125,washington,166618,12663,7.6,33.9,17.3,6.5,66000,9.6
42127,wayne,42765,3849,9,36.5,19.2,10,56000,8
42129,westmoreland,286425,23200,8.1,36.8,16.5,5.2,59000,10.6
42131,wyoming,21783,1808,8.3,33.7,18.6,7.2,59000,8.3
42133,york,348891,25120,7.2,31.9,19.3,9.7,72000,9.8
